Index   Info           Parent   RightSibling
1       S              0        0       
2       A              1        0       
3       B              1        2       
4       (              2        0       
5       S              2        4       
6       )              2        1       
7       A              1        0       
8       B              1        2       
9       int            2        0       
10      C              2        9       
11      *              10       0       
12      A              10       11      
13      int            2        0       
14      C              2        9       
15      int            10       0       
16      int            3        0       
17      int            3        0       
